Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.1957		0.3242		0.0000		0.6511		0.00014186
115		0.1906		0.3172		0.0000		0.6435		0.00013841
116		0.1861		0.3507		0.0000		0.6411		0.00013494
117		0.1863		0.3344		0.0000		0.6672		0.00013147
118		0.1883		0.3345		0.0000		0.6523		0.00012798
119		0.1906		0.3319		0.0000		0.6439		0.00012449
120		0.1852		0.3380		0.0000		0.6537		0.00012098
121		0.1826		0.3387		0.0000		0.6365		0.00011746
122		0.1816		0.3428		0.0000		0.6563		0.00011393
123		0.1788		0.3339		0.0000		0.6540		0.00011039
124		0.1817		0.3518		0.0000		0.6376		0.00010684
125		0.1824		0.3269		0.0000		0.6720		0.00010327
126		0.1769		0.3365		0.0000		0.6618		0.00009969
127		0.1745		0.3325		0.0000		0.6680		0.00009609
128		0.1741		0.3179		0.0000		0.6682		0.00009248
129		0.1765		0.3329		0.0000		0.6655		0.00008885
130		0.1718		0.3304		0.0000		0.6685		0.00008521
131		0.1710		0.3346		0.0000		0.6675		0.00008155
132		0.1727		0.3205		0.0000		0.6743		0.00007787
133		0.1685		0.3321		0.0000		0.6705		0.00007417
134		0.1676		0.3440		0.0000		0.6616		0.00007045
135		0.1683		0.3327		0.0000		0.6673		0.00006671
136		0.1674		0.3273		0.0000		0.6640		0.00006295
137		0.1656		0.3370		0.0000		0.6744		0.00005916
138		0.1674		0.3309		0.0000		0.6769		0.00005534
139		0.1636		0.3279		0.0000		0.6739		0.00005149
140		0.1635		0.3264		0.0000		0.6773		0.00004761
141		0.1628		0.3244		0.0000		0.6755		0.00004370
142		0.1613		0.3219		0.0000		0.6777		0.00003975
143		0.1602		0.3268		0.0000		0.6758		0.00003575
144		0.1604		0.3358		0.0000		0.6720		0.00003170
145		0.1588		0.3328		0.0000		0.6787		0.00002759
146		0.1582		0.3287		0.0000		0.6770		0.00002342
147		0.1574		0.3293		0.0000		0.6796		0.00001916
148		0.1564		0.3268		0.0000		0.6780		0.00001479
149		0.1564		0.3274		0.0000		0.6786		0.00001027
150		0.1552		0.3316		0.0000		0.6771		0.00000550
