Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.1690		0.3060		0.0000		0.6290		0.00014186
115		0.1659		0.2845		0.0000		0.6752		0.00013841
116		0.1531		0.2856		0.0000		0.6744		0.00013494
117		0.1559		0.3093		0.0000		0.6766		0.00013147
118		0.1564		0.3033		0.0000		0.6660		0.00012798
119		0.1537		0.3207		0.0000		0.6732		0.00012449
120		0.1546		0.3081		0.0000		0.6844		0.00012098
121		0.1496		0.3105		0.0000		0.6845		0.00011746
122		0.1528		0.3020		0.0000		0.6871		0.00011393
123		0.1480		0.3130		0.0000		0.6784		0.00011039
124		0.1466		0.3204		0.0000		0.6907		0.00010684
125		0.1554		0.2900		0.0000		0.6803		0.00010327
126		0.1458		0.2923		0.0000		0.6843		0.00009969
127		0.1439		0.3111		0.0000		0.6746		0.00009609
128		0.1447		0.3128		0.0000		0.6833		0.00009248
129		0.1419		0.3096		0.0000		0.6934		0.00008885
130		0.1427		0.3299		0.0000		0.6499		0.00008521
131		0.1425		0.3119		0.0000		0.6796		0.00008155
132		0.1407		0.3161		0.0000		0.6907		0.00007787
133		0.1393		0.3189		0.0000		0.6983		0.00007417
134		0.1395		0.3240		0.0000		0.6884		0.00007045
135		0.1425		0.3214		0.0000		0.6595		0.00006671
136		0.1370		0.3235		0.0000		0.6702		0.00006295
137		0.1361		0.3161		0.0000		0.6919		0.00005916
138		0.1348		0.3304		0.0000		0.6914		0.00005534
139		0.1342		0.3260		0.0000		0.6887		0.00005149
140		0.1335		0.3202		0.0000		0.6739		0.00004761
141		0.1329		0.3203		0.0000		0.6944		0.00004370
142		0.1317		0.3199		0.0000		0.6924		0.00003975
143		0.1309		0.3166		0.0000		0.6989		0.00003575
144		0.1299		0.3239		0.0000		0.6951		0.00003170
145		0.1298		0.3189		0.0000		0.7016		0.00002759
146		0.1285		0.3180		0.0000		0.7004		0.00002342
147		0.1282		0.3187		0.0000		0.6979		0.00001916
148		0.1275		0.3259		0.0000		0.6996		0.00001479
149		0.1269		0.3189		0.0000		0.7039		0.00001027
150		0.1262		0.3192		0.0000		0.7003		0.00000550
