Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.1141		0.2620		0.0000		0.6461		0.00014186
115		0.1165		0.2834		0.0000		0.6155		0.00013841
116		0.1147		0.2862		0.0000		0.6308		0.00013494
117		0.1113		0.2697		0.0000		0.6532		0.00013147
118		0.1114		0.2853		0.0000		0.6393		0.00012798
119		0.1154		0.2876		0.0000		0.6367		0.00012449
120		0.1200		0.2976		0.0000		0.6304		0.00012098
121		0.1146		0.2693		0.0000		0.6517		0.00011746
122		0.1073		0.2727		0.0000		0.6529		0.00011393
123		0.1112		0.2796		0.0000		0.6496		0.00011039
124		0.1077		0.2786		0.0000		0.6514		0.00010684
125		0.1079		0.2722		0.0000		0.6507		0.00010327
126		0.1196		0.2669		0.0000		0.6402		0.00009969
127		0.1083		0.2776		0.0000		0.6529		0.00009609
128		0.1041		0.2882		0.0000		0.6351		0.00009248
129		0.1031		0.2773		0.0000		0.6528		0.00008885
130		0.1019		0.2834		0.0000		0.6413		0.00008521
131		0.1067		0.2864		0.0000		0.6484		0.00008155
132		0.1015		0.2785		0.0000		0.6456		0.00007787
133		0.0996		0.2787		0.0000		0.6455		0.00007417
134		0.0989		0.2781		0.0000		0.6508		0.00007045
135		0.0981		0.2771		0.0000		0.6512		0.00006671
136		0.0975		0.2726		0.0000		0.6577		0.00006295
137		0.0968		0.2736		0.0000		0.6613		0.00005916
138		0.0964		0.2769		0.0000		0.6493		0.00005534
139		0.0949		0.2910		0.0000		0.6456		0.00005149
140		0.0944		0.2864		0.0000		0.6582		0.00004761
141		0.0935		0.2825		0.0000		0.6616		0.00004370
142		0.0928		0.2771		0.0000		0.6570		0.00003975
143		0.0920		0.2810		0.0000		0.6623		0.00003575
144		0.0910		0.2848		0.0000		0.6597		0.00003170
145		0.0903		0.2812		0.0000		0.6634		0.00002759
146		0.0896		0.2831		0.0000		0.6586		0.00002342
147		0.0887		0.2880		0.0000		0.6596		0.00001916
148		0.0883		0.2854		0.0000		0.6585		0.00001479
149		0.0878		0.2813		0.0000		0.6585		0.00001027
150		0.0873		0.2787		0.0000		0.6571		0.00000550
