Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.2145		0.3731		0.0000		0.6373		0.00014186
115		0.2108		0.3713		0.0000		0.6438		0.00013841
116		0.2133		0.3660		0.0000		0.6428		0.00013494
117		0.2107		0.3644		0.0000		0.6492		0.00013147
118		0.2113		0.3930		0.0000		0.6015		0.00012798
119		0.2096		0.3694		0.0000		0.6411		0.00012449
120		0.2064		0.3727		0.0000		0.6496		0.00012098
121		0.2052		0.3661		0.0000		0.6460		0.00011746
122		0.2034		0.3910		0.0000		0.6254		0.00011393
123		0.2051		0.3894		0.0000		0.6296		0.00011039
124		0.2034		0.3780		0.0000		0.6280		0.00010684
125		0.2009		0.3994		0.0000		0.6408		0.00010327
126		0.2008		0.3721		0.0000		0.6343		0.00009969
127		0.1978		0.3820		0.0000		0.6395		0.00009609
128		0.2007		0.3717		0.0000		0.6391		0.00009248
129		0.1954		0.3775		0.0000		0.6386		0.00008885
130		0.1956		0.3826		0.0000		0.6373		0.00008521
131		0.1937		0.3883		0.0000		0.6187		0.00008155
132		0.1987		0.3771		0.0000		0.6451		0.00007787
133		0.1931		0.3851		0.0000		0.6531		0.00007417
134		0.1910		0.3797		0.0000		0.6399		0.00007045
135		0.1886		0.3703		0.0000		0.6492		0.00006671
136		0.1887		0.3830		0.0000		0.6462		0.00006295
137		0.1897		0.4011		0.0000		0.6193		0.00005916
138		0.1920		0.3762		0.0000		0.6406		0.00005534
139		0.1865		0.3762		0.0000		0.6425		0.00005149
140		0.1843		0.3708		0.0000		0.6471		0.00004761
141		0.1840		0.3762		0.0000		0.6403		0.00004370
142		0.1826		0.3752		0.0000		0.6505		0.00003975
143		0.1817		0.3801		0.0000		0.6428		0.00003575
144		0.1812		0.3739		0.0000		0.6446		0.00003170
145		0.1812		0.3779		0.0000		0.6455		0.00002759
146		0.1797		0.3787		0.0000		0.6512		0.00002342
147		0.1790		0.3813		0.0000		0.6479		0.00001916
148		0.1780		0.3818		0.0000		0.6445		0.00001479
149		0.1773		0.3768		0.0000		0.6465		0.00001027
150		0.1766		0.3764		0.0000		0.6492		0.00000550
