Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.1352		0.2121		0.0000		0.6901		0.00014186
115		0.1360		0.2435		0.0000		0.6489		0.00013841
116		0.1378		0.2475		0.0000		0.6227		0.00013494
117		0.1350		0.2230		0.0000		0.6735		0.00013147
118		0.1290		0.2259		0.0000		0.6746		0.00012798
119		0.1288		0.2357		0.0000		0.6688		0.00012449
120		0.1304		0.2405		0.0000		0.6554		0.00012098
121		0.1368		0.2283		0.0000		0.6698		0.00011746
122		0.1328		0.2260		0.0000		0.6872		0.00011393
123		0.1253		0.2251		0.0000		0.6911		0.00011039
124		0.1237		0.2240		0.0000		0.6920		0.00010684
125		0.1236		0.2227		0.0000		0.6939		0.00010327
126		0.1239		0.2237		0.0000		0.6929		0.00009969
127		0.1235		0.2225		0.0000		0.6937		0.00009609
128		0.1237		0.2252		0.0000		0.6941		0.00009248
129		0.1232		0.2249		0.0000		0.6920		0.00008885
130		0.1231		0.2240		0.0000		0.6933		0.00008521
131		0.1234		0.2253		0.0000		0.6921		0.00008155
132		0.1233		0.2232		0.0000		0.6934		0.00007787
133		0.1235		0.2242		0.0000		0.6922		0.00007417
134		0.1236		0.2248		0.0000		0.6912		0.00007045
135		0.1233		0.2229		0.0000		0.6934		0.00006671
136		0.1235		0.2233		0.0000		0.6958		0.00006295
137		0.1235		0.2235		0.0000		0.6929		0.00005916
138		0.1235		0.2240		0.0000		0.6928		0.00005534
139		0.1233		0.2231		0.0000		0.6938		0.00005149
140		0.1234		0.2246		0.0000		0.6926		0.00004761
141		0.1232		0.2238		0.0000		0.6922		0.00004370
142		0.1234		0.2269		0.0000		0.6915		0.00003975
143		0.1237		0.2246		0.0000		0.6929		0.00003575
144		0.1238		0.2230		0.0000		0.6914		0.00003170
145		0.1237		0.2236		0.0000		0.6936		0.00002759
146		0.1237		0.2247		0.0000		0.6947		0.00002342
147		0.1238		0.2258		0.0000		0.6925		0.00001916
148		0.1234		0.2235		0.0000		0.6909		0.00001479
149		0.1235		0.2229		0.0000		0.6913		0.00001027
150		0.1237		0.2229		0.0000		0.6916		0.00000550
